SecureSky Simulation Log - 06-May-2025 16:19:49
Attacks: D4 (Spoof D1, Replay D2), D5 (NFZ Evasion), D3 (MitM), D2 (DB Tamper)
====================================
0.0 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
1.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.3 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
1.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
1.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.4 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
1.4 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
1.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.5 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
1.5 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.5 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
1.5 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
1.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
1.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.6 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
1.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.7 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
1.7 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.7 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
1.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.8 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
1.8 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.8 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
1.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
1.9 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
1.9 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
1.9 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
1.9 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
1.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
1.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.0 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
2.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
2.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
2.1 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
2.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
2.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
2.2 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
2.2 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
2.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
2.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
2.3 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
2.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
2.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
2.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.5 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
2.5 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
2.5 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
2.5 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
2.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
2.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
2.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.7 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
2.7 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
2.7 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
2.7 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
2.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.8 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
2.8 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
2.8 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
2.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
2.9 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
2.9 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
2.9 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
2.9 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
2.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
2.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.0 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
3.0 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
3.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
3.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
3.1 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
3.1 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
3.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
3.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
3.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
3.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
3.3 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
3.3 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
3.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
3.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
3.4 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
3.4 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
3.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.5 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
3.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
3.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
3.6 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
3.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.7 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
3.7 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
3.7 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
3.7 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
3.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.8 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
3.8 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
3.8 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
3.8 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
3.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
3.9 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
3.9 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
3.9 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
3.9 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
3.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
3.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.0 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.0 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.0 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
4.0 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
4.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.1 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
4.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.2 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
4.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.3 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
4.3 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
4.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.4 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
4.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.5 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.5 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.5 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
4.5 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
4.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.6 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
4.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.7 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.7 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.7 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
4.7 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
4.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.8 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.8 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.8 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
4.8 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
4.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
4.9 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
4.9 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
4.9 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
4.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
4.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.0 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.0 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.0 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
5.0 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
5.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.1 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
5.1 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
5.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.2 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
5.2 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
5.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.3 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
5.3 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
5.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.4 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
5.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.5 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.5 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.7 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.7 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.8 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.8 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
5.9 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
5.9 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
5.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
5.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.0 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.0 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
6.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
6.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
6.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
6.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
6.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.5 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.5 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
6.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
6.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.7 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.7 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
